PurchaseOrderID,SupplierID,OrderDate,DeliveryMethodID,ContactPersonID,ExpectedDeliveryDate,SupplierReference,IsOrderFinalized,Comments,InternalComments,LastEditedBy,LastEditedWhen,PurchaseOrderLineID,StockItemID,OrderedOuters,Description,ReceivedOuters,PackageTypeID,ExpectedUnitPricePerOuter,LastReceiptDate,IsOrderLineFinalized,Right_LastEditedBy,Right_LastEditedWhen
1107,4,2014-11-01,7,2,2014-11-21,293092,1,NULL,NULL,19,2014-11-03 07:00:00.0000000,4341,77,21,"""The Gu"" red shirt XML tag t-shirt (White) XXS",21,6,84,2014-11-03,1,19,2014-11-03 07:00:00.0000000
1107,4,2014-11-01,7,2,2014-11-21,293092,1,NULL,NULL,19,2014-11-03 07:00:00.0000000,4342,78,9,"""The Gu"" red shirt XML tag t-shirt (White) XS",9,6,84,2014-11-03,1,19,2014-11-03 07:00:00.0000000
1107,4,2014-11-01,7,2,2014-11-21,293092,1,NULL,NULL,19,2014-11-03 07:00:00.0000000,4343,86,6,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",6,6,96,2014-11-03,1,19,2014-11-03 07:00:00.0000000
1107,4,2014-11-01,7,2,2014-11-21,293092,1,NULL,NULL,19,2014-11-03 07:00:00.0000000,4344,95,7,"""The Gu"" red shirt XML tag t-shirt (Black) XL",7,6,90,2014-11-03,1,19,2014-11-03 07:00:00.0000000
1107,4,2014-11-01,7,2,2014-11-21,293092,1,NULL,NULL,19,2014-11-03 07:00:00.0000000,4345,98,3,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",3,6,96,2014-11-03,1,19,2014-11-03 07:00:00.0000000
1108,7,2014-11-01,2,2,2014-11-21,BC0280982,1,NULL,NULL,19,2014-11-03 07:00:00.0000000,4346,184,3,Shipping carton (Brown) 305x305x305mm,3,7,47.5,2014-11-03,1,19,2014-11-03 07:00:00.0000000
1108,7,2014-11-01,2,2,2014-11-21,BC0280982,1,NULL,NULL,19,2014-11-03 07:00:00.0000000,4347,204,1,Tape dispenser (Red),1,7,170,2014-11-03,1,19,2014-11-03 07:00:00.0000000
1109,4,2014-11-03,7,2,2014-11-23,293092,1,NULL,NULL,14,2014-11-04 07:00:00.0000000,4348,77,1792,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1792,6,84,2014-11-04,1,14,2014-11-04 07:00:00.0000000
1109,4,2014-11-03,7,2,2014-11-23,293092,1,NULL,NULL,14,2014-11-04 07:00:00.0000000,4349,78,1868,"""The Gu"" red shirt XML tag t-shirt (White) XS",1868,6,84,2014-11-04,1,14,2014-11-04 07:00:00.0000000
1109,4,2014-11-03,7,2,2014-11-23,293092,1,NULL,NULL,14,2014-11-04 07:00:00.0000000,4350,80,785,"""The Gu"" red shirt XML tag t-shirt (White) M",785,6,84,2014-11-04,1,14,2014-11-04 07:00:00.0000000
1109,4,2014-11-03,7,2,2014-11-23,293092,1,NULL,NULL,14,2014-11-04 07:00:00.0000000,4351,86,1746,"""The Gu"" red shirt XML tag t-shirt (White) 5XL",1746,6,96,2014-11-04,1,14,2014-11-04 07:00:00.0000000
1109,4,2014-11-03,7,2,2014-11-23,293092,1,NULL,NULL,14,2014-11-04 07:00:00.0000000,4352,95,963,"""The Gu"" red shirt XML tag t-shirt (Black) XL",963,6,90,2014-11-04,1,14,2014-11-04 07:00:00.0000000
1109,4,2014-11-03,7,2,2014-11-23,293092,1,NULL,NULL,14,2014-11-04 07:00:00.0000000,4353,98,1835,"""The Gu"" red shirt XML tag t-shirt (Black) 4XL",1835,6,96,2014-11-04,1,14,2014-11-04 07:00:00.0000000
1110,7,2014-11-03,2,2,2014-11-23,BC0280982,1,NULL,NULL,14,2014-11-04 07:00:00.0000000,4354,184,364,Shipping carton (Brown) 305x305x305mm,364,7,47.5,2014-11-04,1,14,2014-11-04 07:00:00.0000000
1110,7,2014-11-03,2,2,2014-11-23,BC0280982,1,NULL,NULL,14,2014-11-04 07:00:00.0000000,4355,193,1188,Black and orange glass with care despatch tape 48mmx75m,1188,7,38.4,2014-11-04,1,14,2014-11-04 07:00:00.0000000
1110,7,2014-11-03,2,2,2014-11-23,BC0280982,1,NULL,NULL,14,2014-11-04 07:00:00.0000000,4356,204,1356,Tape dispenser (Red),1356,7,170,2014-11-04,1,14,2014-11-04 07:00:00.0000000
1111,4,2014-11-04,7,2,2014-11-24,293092,1,NULL,NULL,8,2014-11-05 07:00:00.0000000,4357,77,1804,"""The Gu"" red shirt XML tag t-shirt (White) XXS",1804,6,84,2014-11-05,1,8,2014-11-05 07:00:00.0000000
1111,4,2014-11-04,7,2,2014-11-24,293092,1,NULL,NULL,8,2014-11-05 07:00:00.0000000,4358,78,1866,"""The Gu"" red shirt XML tag t-shirt (White) XS",1866,6,84,2014-11-05,1,8,2014-11-05 07:00:00.0000000
